code,name,last_price,pe_ratio,pb_ratio,volume,volume_ratio,total_score
HK.06881,CGS,8.75,8.829,0.742,14182500,0.575,20.367
HK.00762,CHINA UNICOM,7.12,9.455,0.534,24579596,0.473,20.365799999999997
HK.00023,BANK OF E ASIA,13.5,10.188,0.338,955200,0.569,20.278799999999997
HK.00013,HUTCHMED,21.68,5.318,1.963,3121000,0.72,20.2758
HK.01773,TIANLI INT HLDG,2.36,6.801,1.518,6632000,0.593,20.186999999999998
HK.03933,UNITED LAB,9.8,8.376,1.004,10398697,0.899,20.1672
HK.00752,PICO FAR EAST,2.62,7.616,1.303,616765,0.447,20.085
HK.01361,361 DEGREES,5.92,8.445,1.097,6028000,0.794,19.958399999999997
HK.02579,CNGR,31.5,20.723,1.475,3191000,2.58,19.9112
HK.06186,CHINA FEIHE,3.68,8.401,1.153,17092546,0.818,19.884
HK.01316,NEXTEER,5.15,16.297,0.786,28203026,1.125,19.807
HK.00116,CHOW SANG SANG,12.26,10.225,0.598,895000,0.789,19.7886
HK.02580,AUX ELECTRIC,9.37,4.734,2.357,1803200,0.635,19.7574
HK.00371,BJ ENT WATER,2.76,16.046,0.905,29400024,1.012,19.743399999999998
HK.02507,CIRRUS,37.72,12.773,2.006,4943555,1.225,19.7254
HK.03709,EEKA FASHION,6.64,9.299,0.946,641500,0.698,19.7178
HK.09885,YSB,5.3,21.457,1.342,6529000,1.984,19.710199999999997
HK.00564,ZCZL,19.35,8.113,1.362,1394400,0.809,19.680600000000002
HK.06178,EB SECURITIES,7.59,10.6,0.534,1384600,0.55,19.678799999999995
HK.01999,MAN WAH HLDGS,4.49,8.439,1.275,3344000,0.375,19.641599999999997
HK.01866,CHINA XLX FERT,10.45,8.454,1.271,3326000,0.527,19.639799999999997
HK.00916,CHINA LONGYUAN,8.08,9.805,0.826,23648390,0.874,19.6302
HK.01071,HUADIAN POWER,4.75,9.013,1.125,15116000,0.822,19.5672
HK.00177,JIANGSU EXPRESS,9.64,9.094,1.1,4205805,0.922,19.563599999999997
HK.00934,SINOPEC KANTONS,4.33,10.458,0.652,4324000,0.801,19.551599999999997
HK.02198,CHINA SANJIANG,4.61,9.544,0.959,3863300,0.292,19.5474
HK.00596,INSPUR DIGI ENT,2.95,8.676,1.253,3244000,0.578,19.538999999999998
HK.01200,MIDLAND HOLDING,3.02,6.756,1.894,1702000,0.702,19.5372
HK.02888,STANCHART,166.0,9.392,1.025,527435,0.426,19.5198
HK.02328,PICC P&C,14.76,9.449,1.075,23678935,0.674,19.395599999999998
HK.01898,CHINA COAL,14.17,9.58,1.09,17803140,0.465,19.290000000000003
HK.03316,BINJIANG SER,22.62,9.484,3.376,1049500,4.861,19.232799999999997
HK.02192,MEDLIVE,7.66,16.616,1.066,2408454,1.023,19.111600000000003
HK.03339,LONKING,2.65,10.311,0.956,5690000,0.623,19.0926
HK.00921,HISENSE HA,21.96,8.41,1.64,733300,0.98,19.002
HK.01882,HAITIAN INT'L,21.4,9.344,1.338,2043456,0.823,18.985199999999995
HK.00917,QUNABOX GROUP,16.83,14.095,1.997,2306200,1.08,18.9484
HK.00341,CAFE DE CORAL H,4.28,10.673,0.941,757094,0.743,18.902399999999997
HK.01698,TME-SW,37.88,9.587,1.32,1787466,0.587,18.8718
HK.01776,GF SEC,14.79,11.12,0.832,4861600,0.519,18.8304
HK.06896,GOLDEN THROAT,3.58,7.698,1.998,577000,0.714,18.7848
HK.01766,CRRC,5.25,11.266,0.81,12284113,0.75,18.7824
HK.00179,JOHNSON ELEC H,23.42,10.703,1.012,2822000,0.625,18.7566
HK.00914,CONCH CEMENT,21.5,12.16,0.534,6080165,0.615,18.7428
HK.03983,CHINA BLUECHEM,2.79,11.923,0.616,13140000,0.519,18.737399999999997
HK.00512,GRAND PHARMA,6.7,9.64,1.386,5411500,0.632,18.7212
HK.02357,AVICHINA,3.44,11.621,0.728,22849142,0.703,18.717
HK.01883,CITIC TELECOM,2.75,11.044,0.923,6428882,0.94,18.7122
HK.02883,CHINA OILFIELD,9.88,11.088,0.914,13367339,0.856,18.701999999999998
HK.00856,VSTECS,9.38,9.904,1.322,13304000,0.396,18.678
HK.01193,CHINA RES GAS,19.28,10.911,1.028,2334228,0.663,18.602999999999998
HK.02722,CHONGQING M&E,2.56,11.13,0.966,11362000,0.511,18.583199999999994
HK.00189,DONGYUE GROUP,11.07,10.552,1.205,11744000,0.669,18.499799999999997
HK.00883,CNOOC,29.28,9.342,1.617,152006883,0.597,18.4842
HK.02691,NANHUA FUTURES,11.0,15.965,1.64,1367500,1.406,18.469
HK.03958,DFZQ,5.4,12.676,0.53,5922000,0.57,18.440399999999997
HK.01910,SAMSONITE,15.01,9.254,1.671,2643396,0.306,18.4398
HK.02232,CRYSTAL INTL,6.19,10.097,1.41,2233724,0.417,18.403799999999997
HK.00123,YUEXIU PROPERTY,3.8,13.62,0.246,7546600,0.694,18.385199999999998
