code,name,last_price,pe_ratio,pb_ratio,volume,volume_ratio,total_score
SH.600125,China Railway Tielong Container Logistics,6.93,23.651,1.182,78369641,2.432,18.681799999999996
SZ.002216,"Sanquan Food Co.,Ltd",12.35,20.016,2.398,16391407,1.69,18.674
SZ.000568,Luzhou Laojiao,101.9,11.132,3.145,7355226,1.262,18.6598
SH.603801,Zbom Home Collection,9.15,10.315,1.197,2579888,0.425,18.6564
SZ.002572,Suofeiya Home Collection,12.61,8.855,1.685,5832875,0.594,18.653999999999996
SZ.000589,GuiZhou Tyre,4.58,11.565,0.804,24477114,0.745,18.613799999999998
SH.601811,Xinhua Winshare publishing & Media,13.39,10.694,1.119,3356700,0.977,18.569399999999998
SZ.002154,Baoxiniao Holding,3.6,10.619,1.159,12358934,0.729,18.542399999999997
SZ.300705,Hunan Jiudian Pharmaceutical,13.52,13.203,2.565,7244828,1.115,18.461199999999998
SZ.000404,Changhong Huayi Compressor,7.0,10.819,1.145,10156437,0.737,18.447599999999998
SH.600757,Changjiang Publishing & Media,8.65,11.103,1.061,6684400,0.788,18.4284
SH.603339,Square Technology Group,12.63,16.488,1.5,4872528,1.415,18.4072
SH.600511,China National Medicines Corporation,28.71,10.85,1.168,4482504,0.699,18.3876
SH.601966,Shandong Linglong Tyre,14.0,11.695,0.89,6829200,0.578,18.380999999999997
SZ.002543,Guangdong Vanward New Electric,9.15,10.35,1.344,16016350,0.721,18.370799999999996
SH.601001,Jinneng Holding Shanxi Coal Industry,16.68,9.94,1.485,24032312,0.746,18.363000000000003
SH.600713,Nanjing Pharmaceutical Group,5.05,11.582,0.948,8058901,0.695,18.344399999999997
SZ.000899,Jiangxi Ganneng,15.17,20.724,2.346,116206684,2.134,18.342799999999997
SH.600279,Chongqing Port,5.21,11.681,0.917,8548800,0.896,18.3408
SH.603035,Jiangsu Changshu Automotive Trim Group,13.52,11.645,0.932,3742800,0.732,18.335399999999996
SH.601156,Eastern Air Logistics,17.25,10.189,1.437,5922945,0.558,18.3
SH.600350,Shandong Hi-speed,10.58,16.006,1.728,11339583,1.264,18.286
SH.601298,Qingdao Port International,8.69,10.781,1.27,9659500,0.82,18.2454
SH.605009,Hangzhou Haoyue Personal Care,28.69,15.921,1.822,1637778,1.239,18.1678
SZ.000563,Shaanxi International Trust,3.36,12.0,0.907,40585658,0.531,18.1674
SH.600546,Shanxi Coal International Energy Group,11.91,10.41,1.441,34016168,0.793,18.160199999999996
SH.600282,Nanjing Iron & Steel,5.25,11.29,1.167,35948587,0.632,18.125400000000003
SZ.000921,Hisense Home Appliances Group,22.48,9.3,1.839,6813449,0.733,18.1098
SH.600461,Jiangxi Hongcheng Environment,10.03,10.819,1.334,10883400,0.921,18.107399999999995
SZ.000597,Northeast Pharmaceutical Group,5.02,17.491,1.335,18690573,1.089,18.102399999999996
SZ.002274,Jiangsu HuaChang Chemical,6.32,11.553,1.108,35443743,0.863,18.0738
SH.603199,Anhui Jiuhuashan Tourism Development,39.17,20.369,2.624,4558800,1.592,18.0554
SH.600639,Shanghai Jinqiao Export Processing Zone Development,11.04,12.362,0.855,8914517,0.847,18.043799999999997
SZ.000828,Dongguan Development,10.71,11.653,1.094,5361921,0.605,18.038999999999998
SH.600566,Hubei Jumpcan Pharmaceutical,26.52,9.65,1.764,5652742,0.592,18.0348
SZ.000928,Sinosteel Engineering & Technology,6.72,11.546,1.141,24096121,0.732,18.0186
SH.601717,ZCZL Industrial Technology Group,21.91,9.945,1.689,11635193,0.702,17.9928
SZ.000411,Zhejiang Int'l Group,10.56,11.354,1.226,3112556,0.649,17.980800000000002
SZ.000581,Weifu High-Technology Group,20.69,12.05,0.996,12509332,0.669,17.977199999999996
SH.601311,"Camel Group Co.,Ltd.",9.59,18.336,1.141,35741269,1.152,17.9446
SZ.001872,China Merchants Port Group,22.67,12.456,0.889,2997301,0.535,17.9262
SH.600048,Poly Developments and Holdings Group,5.88,14.066,0.364,82054257,0.786,17.905199999999997
SH.688425,China Railway Construction Heavy Industry Corporation Limited,4.9,17.625,1.405,35708128,1.242,17.895999999999997
SZ.000552,Gansu Energy Chemical,2.82,12.422,0.923,119231120,0.862,17.885399999999997
SZ.002468,"STO Express Co.,Ltd.",14.91,21.958,2.219,53391373,1.767,17.831000000000003
SH.600997,Kailuan Energy Chemical,6.7,13.035,0.757,28255202,0.832,17.816399999999998
SZ.000785,Easyhome New Retail Group Corporation,2.45,19.758,0.739,69555700,1.037,17.815
SZ.000623,Jilin Aodong Pharmaceutical Group,17.26,13.307,0.675,8125672,0.684,17.8008
SH.601065,Jiangxi Salt Industry Group,8.39,11.701,1.218,8583268,0.874,17.787
SH.600332,Guangzhou Baiyunshan Pharmaceutical Holdings,22.8,12.425,0.98,16905410,0.946,17.781
SH.605166,Juheshun Advanced Material,10.04,10.524,1.621,3639500,0.619,17.767799999999998
SH.600861,"FESCO Group Co., Ltd",16.16,11.559,1.28,2171800,0.685,17.7606
SH.601101,Beijing Haohua Energy Resource,8.84,12.277,1.053,31246888,0.821,17.7384
SH.600420,Shanghai Shyndec Pharmaceutical,10.12,12.524,0.995,9615190,0.815,17.694599999999998
SH.600177,Youngor Fashion,7.78,12.988,0.847,22739016,0.538,17.6826
SH.600587,Shinva Medical Instrument,14.05,12.324,1.099,5404659,0.654,17.6274
SH.603408,Runner,11.75,10.909,1.571,2147800,0.845,17.6268
SZ.000726,Lu Thai Textile,6.97,13.884,0.588,6987912,0.661,17.611199999999997
SH.600612,Lao Feng Xiang,40.12,10.764,1.631,1417210,0.916,17.6058
SZ.002206,Zhejiang Hailide New Material,6.01,17.025,1.783,22843516,1.02,17.575599999999998
SH.600033,Fujian Expressway Development,3.76,13.192,0.839,40198996,0.891,17.574599999999997
SH.600780,Top Energy,8.43,18.859,1.178,175926123,3.44,17.5642
SH.603018,China Design Group,7.25,12.946,0.941,5767203,0.537,17.5386
SH.600012,Anhui Expressway,15.64,16.008,2.148,8208459,1.321,17.5288
SZ.000030,FAWER Automotive Parts,4.97,12.646,1.048,9947780,0.759,17.525999999999996
SH.600273,Zhejiang Jiahua Energy Chemical Industry,9.03,12.153,1.216,18482388,0.679,17.519399999999997
SH.601607,Shanghai Pharmaceuticals Holding,16.44,13.387,0.809,6238797,0.561,17.511599999999998
SZ.000913,Zhejiang Qianjiang Motorcycle,14.21,11.058,1.588,3924986,0.666,17.5068
SH.603515,Opple Lighting,19.42,15.983,2.169,2466589,1.304,17.506
SZ.300729,Loctek Ergonomic Technology Corp.,12.21,12.421,1.145,3203956,0.872,17.4864
SH.603600,UE Furniture,10.24,11.428,1.477,3947100,0.938,17.484599999999997
SZ.000719,Central China Land Media,12.68,12.591,1.115,4878784,0.524,17.438399999999998
SZ.000685,Zhongshan Public Utilities Group,10.83,13.321,0.888,13573900,0.847,17.409
SH.600999,China Merchants,15.17,12.705,1.121,18405502,0.558,17.3592
SH.603049,Zhongce Rubber Group,47.6,10.99,1.724,2316868,0.904,17.302799999999998
SZ.001965,China Merchants Expressway Network & Technology Holdings,10.21,13.039,1.042,15621740,0.853,17.301
SZ.000707,Hubei Shuanghuan Science and Technology Stock,5.99,12.479,1.229,15474193,0.663,17.3004
SH.600551,Time Publishing And Media,7.9,13.412,0.924,3641260,0.662,17.2896
SZ.000983,Shanxi Coking Coal Energy Group,7.08,12.943,1.095,125096471,0.679,17.2632
SH.600062,China Resources Double-Crane Pharmaceutical,18.07,11.393,1.613,6803387,0.475,17.2608
SZ.002758,ZJAMP Group,9.66,13.178,1.047,9506919,0.85,17.208599999999997
SZ.002267,Shaanxi Provincial Natural Gas,8.03,12.334,1.356,15648251,0.626,17.1588
SZ.002091,Jiangsu Guotai International Group,9.17,13.505,0.966,24926626,0.965,17.158199999999997
SZ.002060,Guangdong Construction Engineering Group,4.07,13.086,1.108,45302358,0.819,17.154
SH.600123,Shanxi Lanhua Sci-Tech Venture,7.05,14.476,0.657,57407508,0.841,17.1318
SH.601975,Nanjing Tanker Corporation,4.44,10.829,1.875,311583204,0.794,17.127599999999997
SZ.002563,Zhejiang Semir Garment,5.32,12.606,1.296,16602004,0.971,17.103599999999997
SZ.002088,Luyang Energy-Saving Materials,9.95,10.63,1.964,2841582,0.614,17.086799999999997
SH.601000,Tangshan Port Group,4.32,12.934,1.221,21834064,0.627,17.041800000000002
SZ.002818,Chengdu Fusen Noble-House Industrial,11.16,12.104,1.515,4346267,0.993,17.0106
SH.600886,SDIC Power Holdings,14.88,17.927,1.797,34819469,1.258,17.0092
SH.600060,Hisense Visual Technology,21.61,12.556,1.379,8215220,0.897,16.9842
SH.601333,Guangshen Railway,3.15,21.0,0.791,93023050,1.221,16.9762
SH.603055,Zhejiang Taihua New Material Group,9.58,11.754,1.656,7007200,0.555,16.966800000000003
SH.601058,Sailun Group,13.16,10.647,2.054,25637643,0.622,16.9146
SH.601898,China Coal Energy,17.9,12.285,1.508,61921726,0.938,16.9146
SZ.002508,Hangzhou Robam Appliances,19.87,11.905,1.645,3934801,0.812,16.896
SZ.002483,Jiangsu Rainbow Heavy Industries,6.92,12.65,1.398,9440615,0.539,16.8936
SZ.002668,Guangdong TCL Smart Home Appliances,8.96,8.648,2.74,11045321,0.923,16.879199999999997
SH.603689,Anhui Province Natural Gas Development,8.36,13.206,1.231,5446420,0.483,16.860599999999998
SH.603886,"Ganso Co., Ltd.",11.84,11.428,1.831,2386900,0.608,16.8474
SH.603587,Dazzle Fashion,12.06,18.843,1.585,2592657,1.061,16.8412
SH.600968,CNOOC Energy Technology & Services,4.65,12.172,1.597,76107467,0.772,16.8222
