code,name,last_price,pe_ratio,pb_ratio,volume,volume_ratio,total_score
HK.01070,TCL ELECTRONICS,11.05,15.83,1.617,3883000,0.615,14.591399999999998
HK.01788,GUOTAI JUNAN I,2.33,16.524,1.4,43323000,0.636,14.565599999999996
HK.02600,CHALCO,10.8,13.828,2.304,17453716,0.191,14.555999999999997
HK.00285,BYD ELECTRONIC,30.96,15.146,1.936,7847919,0.79,14.427599999999998
HK.01258,CHINFMINING,11.36,14.094,2.291,19813183,0.672,14.4198
HK.03613,TONGRENTANGCM,7.78,16.378,1.555,1103100,0.516,14.3742
HK.00763,ZTE,22.36,17.2,1.282,7192000,0.531,14.3724
HK.01816,CGN POWER,3.65,17.056,1.351,131080305,0.639,14.334599999999998
HK.00358,JIANGXI COPPER,36.46,16.942,1.411,16399851,0.773,14.295
HK.00220,U-PRESID CHINA,7.71,14.657,2.211,7378090,0.95,14.226
HK.00016,SHK PPT,129.8,19.512,0.605,2628551,0.393,14.2038
HK.07618,JD INDUSTRIALS,12.52,13.262,2.739,2077523,0.999,14.1126
HK.01088,CHINA SHENHUA,47.52,14.966,2.197,14107005,0.551,14.065800000000001
HK.02638,HKELECTRIC-SS,6.47,18.174,1.159,3117041,0.464,14.009399999999998
HK.00173,K. WAH INT'L,2.24,21.132,0.173,3659000,0.735,14.009399999999998
HK.00780,TONGCHENGTRAVEL,18.39,16.493,1.733,6202475,0.872,13.9848
HK.02291,SCIENTECH,16.09,21.032,2.578,8272000,40.404,13.740400000000001
HK.02245,LYGEND RESOURCE,18.82,15.288,2.304,4015400,0.671,13.679999999999998
HK.07489,VOYAH AUTO,5.33,17.418,1.677,9921732,0.244,13.530600000000002
HK.02331,LI NING,21.46,17.072,1.813,23708302,0.773,13.493400000000003
HK.00300,MIDEA GROUP,81.3,14.852,2.558,2855432,0.857,13.484399999999999
HK.01157,ZOOMLION,8.44,19.181,1.142,6347400,0.374,13.4358
HK.03899,CIMC ENRIC,10.52,17.68,1.652,7274000,0.663,13.418399999999998
HK.00002,CLP HOLDINGS,72.8,17.571,1.709,2452397,0.694,13.3812
HK.01681,CONSUN PHARMA,16.4,14.041,2.892,1294000,0.824,13.3698
HK.00400,INGDAN,2.51,20.08,0.883,1337000,0.381,13.3626
HK.09988,BABA-W,122.9,16.73,2.039,79314992,0.588,13.291799999999999
HK.06603,IFBH,10.93,16.337,2.177,934800,0.899,13.279199999999998
HK.02367,GIANT BIOGENE,28.68,14.484,2.798,6039372,0.85,13.2732
HK.00638,FIBOCOM,11.99,14.95,2.681,3334800,0.719,13.204199999999998
HK.00751,SKYWORTH GROUP,6.8,20.987,0.675,970000,0.446,13.1928
HK.02282,MGM CHINA,10.98,8.224,12.842,5623705,0.646,13.0656
HK.02097,MIXUE GROUP,299.4,17.439,4.198,736390,1.277,12.980199999999998
HK.01308,SITC,33.7,9.56,4.717,1744578,0.205,12.773399999999999
HK.09999,NTES-S,171.8,14.551,3.064,2739547,0.499,12.754199999999999
HK.00867,CMS,12.8,18.934,1.621,3312025,0.831,12.721799999999996
HK.03306,JNBY,21.76,11.858,3.989,959500,0.568,12.705
HK.03808,SINOTRUK,39.54,17.258,2.303,8744014,0.938,12.499799999999999
HK.02418,DEEWIN,2.08,27.368,1.224,2872500,5.19,12.376
HK.02269,WUXI BIO,31.38,23.899,2.482,36649784,1.06,12.192999999999998
HK.06823,HKT-SS,12.15,17.431,2.502,2730595,0.2,12.037799999999999
HK.01277,KINETIC DEV,2.22,18.813,2.07,28950208,0.95,11.986200000000002
HK.00006,POWER ASSETS,61.05,20.864,1.434,1737497,0.591,11.900399999999998
HK.03606,FUYAO GLASS,57.3,14.506,3.595,1672467,0.717,11.8254
