code,name,last_price,pe_ratio,pb_ratio,volume,volume_ratio,total_score
SZ.300729,Loctek Ergonomic Technology Corp.,12.21,12.421,1.145,3203956,0.872,23.315200000000004
SH.603600,UE Furniture,10.24,11.428,1.477,3947100,0.938,23.3128
SH.601333,Guangshen Railway,3.15,21.0,0.791,93023050,1.221,23.3016
SZ.000719,Central China Land Media,12.68,12.591,1.115,4878784,0.524,23.251199999999997
SZ.000685,Zhongshan Public Utilities Group,10.83,13.321,0.888,13573900,0.847,23.212000000000003
SH.600999,China Merchants,15.17,12.705,1.121,18405502,0.558,23.1456
SH.603587,Dazzle Fashion,12.06,18.843,1.585,2592657,1.061,23.1216
SH.603049,Zhongce Rubber Group,47.6,10.99,1.724,2316868,0.904,23.0704
SZ.001965,China Merchants Expressway Network & Technology Holdings,10.21,13.039,1.042,15621740,0.853,23.068
SZ.000707,Hubei Shuanghuan Science and Technology Stock,5.99,12.479,1.229,15474193,0.663,23.067200000000003
SH.600551,Time Publishing And Media,7.9,13.412,0.924,3641260,0.662,23.052800000000005
SZ.000983,Shanxi Coking Coal Energy Group,7.08,12.943,1.095,125096471,0.679,23.017600000000005
SH.600062,China Resources Double-Crane Pharmaceutical,18.07,11.393,1.613,6803387,0.475,23.014400000000002
SH.600557,Jiangsu Kanion Pharmaceutical,13.15,19.002,1.579,5041545,1.064,23.008800000000004
SZ.301015,Qingdao Baheal Medical INC.,21.99,16.709,4.853,8874087,2.215,22.9856
SZ.002053,Yunnan Energy Investment,13.69,18.676,1.701,42005973,1.38,22.9768
SH.601200,Shanghai Environment Group,8.84,20.702,1.026,21223613,1.074,22.976
SH.600982,Ningbo Energy Group,6.68,26.196,1.695,243165335,1.801,22.9752
SZ.002758,ZJAMP Group,9.66,13.178,1.047,9506919,0.85,22.9448
SH.603681,"Shanghai Yongguan Adhesive Products Corp.,Ltd",16.66,20.193,1.223,6756674,1.062,22.9104
SZ.002267,Shaanxi Provincial Natural Gas,8.03,12.334,1.356,15648251,0.626,22.8784
SZ.002091,Jiangsu Guotai International Group,9.17,13.505,0.966,24926626,0.965,22.877599999999997
SZ.002060,Guangdong Construction Engineering Group,4.07,13.086,1.108,45302358,0.819,22.872000000000003
SH.600123,Shanxi Lanhua Sci-Tech Venture,7.05,14.476,0.657,57407508,0.841,22.842399999999998
SH.603008,Sleemon Healthy Sleep Technology,16.65,19.028,1.642,17348868,1.165,22.8368
SH.601975,Nanjing Tanker Corporation,4.44,10.829,1.875,311583204,0.794,22.8368
SZ.002563,Zhejiang Semir Garment,5.32,12.606,1.296,16602004,0.971,22.804799999999997
SZ.002088,Luyang Energy-Saving Materials,9.95,10.63,1.964,2841582,0.614,22.782399999999996
SH.603883,LBX Pharmacy Chain Joint Stock,13.35,19.517,1.516,8553464,1.008,22.748
SH.601000,Tangshan Port Group,4.32,12.934,1.221,21834064,0.627,22.722400000000004
SH.601016,CECEP Wind-Power Corporation,5.31,25.652,1.982,1481025929,1.752,22.7216
SZ.002541,Anhui Honglu Steel Construction,21.73,19.419,1.566,12374653,1.295,22.706400000000002
SH.600933,"IKD Co., Ltd.",16.9,18.53,1.864,11817846,1.082,22.7024
SZ.002818,Chengdu Fusen Noble-House Industrial,11.16,12.104,1.515,4346267,0.993,22.6808
SH.603402,Shaanxi Tourism Culture Industry Holding,136.78,20.67,3.671,1792618,1.646,22.653599999999997
SH.600060,Hisense Visual Technology,21.61,12.556,1.379,8215220,0.897,22.6456
SH.603055,Zhejiang Taihua New Material Group,9.58,11.754,1.656,7007200,0.555,22.622400000000006
SH.601058,Sailun Group,13.16,10.647,2.054,25637643,0.622,22.552800000000005
SH.601898,China Coal Energy,17.9,12.285,1.508,61921726,0.938,22.552800000000005
SZ.002508,Hangzhou Robam Appliances,19.87,11.905,1.645,3934801,0.812,22.528000000000002
SZ.002483,Jiangsu Rainbow Heavy Industries,6.92,12.65,1.398,9440615,0.539,22.524800000000003
SZ.002668,Guangdong TCL Smart Home Appliances,8.96,8.648,2.74,11045321,0.923,22.5056
SH.603689,Anhui Province Natural Gas Development,8.36,13.206,1.231,5446420,0.483,22.480800000000002
SH.603886,"Ganso Co., Ltd.",11.84,11.428,1.831,2386900,0.608,22.4632
SH.600968,CNOOC Energy Technology & Services,4.65,12.172,1.597,76107467,0.772,22.4296
SH.601107,Sichuan Expressway,6.44,13.501,1.173,12134496,0.797,22.384
SZ.300856,Nanjing Cosmos Chemical,12.34,10.439,2.194,3372280,0.303,22.383200000000002
