ts_code,name,industry,total_return
000777.SZ,中核科技,机械基件,47.52604166666667
000778.SZ,新兴铸管,钢加工,-14.071294559099437
000779.SZ,甘咨询,建筑工程,-36.07370659107016
000782.SZ,恒申新材,化纤,-29.75
000783.SZ,长江证券,证券,-12.89506953223768
000785.SZ,居然智家,百货,-74.8991935483871
000786.SZ,北新建材,其他建材,6.204081632653059
000788.SZ,北大医药,化学制药,-31.271477663230247
000789.SZ,万年青,水泥,-53.54671280276817
000790.SZ,华神科技,中成药,-44.900662251655625
000791.SZ,甘肃能源,水力发电,-1.1180124223602574
000792.SZ,盐湖股份,农药化肥,177.61194029850748
000793.SZ,*ST华闻,出版业,-73.56435643564356
000795.SZ,英洛华,矿物制品,39.87240829346093
000796.SZ,凯撒旅业,旅游服务,-62.12765957446808
000797.SZ,中国武夷,全国地产,-73.36322869955157
000798.SZ,中水渔业,渔业,21.436984687868083
000799.SZ,酒鬼酒,白酒,57.45534086766314
000800.SZ,一汽解放,汽车整车,-39.38832252085264
000801.SZ,四川九洲,家用电器,123.35025380710658
000802.SZ,北京文化,影视音像,-72.0946416144746
000803.SZ,山高环能,环境保护,-62.03582350371342
000807.SZ,云铝股份,铝,196.23352165725052
000809.SZ,和展能源,电气设备,6.459948320413436
000810.SZ,创维数字,家用电器,56.33001422475107
000811.SZ,冰轮环境,工程机械,122.43107769423558
000812.SZ,陕西金叶,广告包装,0.23364485981307911
000813.SZ,德展健康,化学制药,-61.83783783783785
000815.SZ,美利云,通信设备,32.47354497354499
000816.SZ,智慧农业,农用机械,5.26315789473684
000818.SZ,航锦科技,化工原料,62.00906344410876
000819.SZ,岳阳兴长,石油加工,15.764705882352938
000820.SZ,*ST节能,综合类,-87.0683039140445
000821.SZ,ST京机,电气设备,-4.578313253012036
000822.SZ,山东海化,化工原料,-32.48677248677248
000823.SZ,超声电子,元器件,-4.941860465116276
000825.SZ,太钢不锈,特种钢,-12.795275590551189
000826.SZ,启迪环境,环境保护,-93.6138014527845
000828.SZ,东莞控股,路桥,-10.65719360568383
000829.SZ,天音控股,其他商业,9.674027339642482
000830.SZ,鲁西化工,化工原料,0.0
000831.SZ,中国稀土,小金属,282.7613727055068
000833.SZ,粤桂股份,综合类,289.38953488372096
000837.SZ,秦川机床,机床制造,70.64516129032258
000838.SZ,财信发展,区域地产,-63.02521008403361
